"","geo_id","Year","ID Race","Race","Income","Household Income by Race Moe","Geography","ID Geography","case_count","hosp_count","death_count","total_hosp_incidental","time_period","Cases_Per_Thousand_Dollar_Income","Income_Level"
"165","53033022203",2019,0,"Total",146111,17788,"Census Tract 222.03, King County, WA","14000US53033022203",1028,25,3,12,"Overall",7.03574679524471,"High"
"166","53033022300",2019,0,"Total",178447,38977,"Census Tract 223, King County, WA","14000US53033022300",475,10,3,6,"Overall",2.66185478041099,"High"
"167","53033022400",2019,0,"Total",142279,14321,"Census Tract 224, King County, WA","14000US53033022400",1847,31,8,30,"Overall",12.9815362773143,"High"
"168","53033022500",2019,0,"Total",129235,10820,"Census Tract 225, King County, WA","14000US53033022500",1840,60,8,25,"Overall",14.237629125237,"High"
"169","53033022603",2019,0,"Total",120661,8667,"Census Tract 226.03, King County, WA","14000US53033022603",1334,37,9,20,"Overall",11.0557678123006,"High"
"170","53033022604",2019,0,"Total",139000,17936,"Census Tract 226.04, King County, WA","14000US53033022604",1025,26,7,9,"Overall",7.37410071942446,"High"
"171","53033022605",2019,0,"Total",110820,15977,"Census Tract 226.05, King County, WA","14000US53033022605",1128,32,5,10,"Overall",10.1786681104494,"High"
"172","53033022606",2019,0,"Total",107480,20620,"Census Tract 226.06, King County, WA","14000US53033022606",1105,42,13,26,"Overall",10.2809825083737,"High"
"173","53033022701",2019,0,"Total",140123,7210,"Census Tract 227.01, King County, WA","14000US53033022701",551,19,3,9,"Overall",3.93225951485481,"High"
"174","53033022702",2019,0,"Total",146477,34219,"Census Tract 227.02, King County, WA","14000US53033022702",786,21,1,12,"Overall",5.36603016173188,"High"
"175","53033022703",2019,0,"Total",131250,23366,"Census Tract 227.03, King County, WA","14000US53033022703",615,29,1,13,"Overall",4.68571428571429,"High"
"176","53033022801",2019,0,"Total",96500,15844,"Census Tract 228.01, King County, WA","14000US53033022801",1687,44,8,16,"Overall",17.4818652849741,"High"
